parameter_index,value
311,0.000000e+00
312,0.000000e+00
313,0.000000e+00
314,0.000000e+00
315,0.000000e+00
316,0.000000e+00
317,0.000000e+00
318,0.000000e+00
319,0.000000e+00
320,0.000000e+00
321,0.000000e+00
322,0.000000e+00
323,0.000000e+00
324,0.000000e+00
325,0.000000e+00
326,0.000000e+00
327,0.000000e+00
328,0.000000e+00
329,0.000000e+00
330,0.000000e+00
331,0.000000e+00
332,0.000000e+00
333,0.000000e+00
334,0.000000e+00
335,0.000000e+00
336,0.000000e+00
337,0.000000e+00
338,0.000000e+00
339,0.000000e+00
340,0.000000e+00
341,0.000000e+00
342,0.000000e+00
343,0.000000e+00
344,0.000000e+00
345,0.000000e+00
346,0.000000e+00
347,0.000000e+00
348,0.000000e+00
349,2.308903e-01
350,-1.474711e-01
351,-2.816408e+00
352,-1.298942e-01
353,2.308848e-01
354,5.102605e-02
355,1.700806e-02
356,3.982756e-02
357,-4.228594e+00
358,-3.988231e-02
359,4.793613e-02
360,0.000000e+00
361,0.000000e+00
362,0.000000e+00
363,0.000000e+00
364,0.000000e+00
365,0.000000e+00
366,0.000000e+00
367,0.000000e+00
368,0.000000e+00
369,0.000000e+00
370,0.000000e+00
371,0.000000e+00
372,0.000000e+00
373,0.000000e+00
374,0.000000e+00
375,0.000000e+00
376,0.000000e+00
377,0.000000e+00
378,0.000000e+00
379,0.000000e+00
380,0.000000e+00
381,0.000000e+00
382,0.000000e+00
383,0.000000e+00
384,0.000000e+00
385,0.000000e+00
386,0.000000e+00
387,0.000000e+00
388,0.000000e+00
389,0.000000e+00
390,0.000000e+00
391,0.000000e+00
392,0.000000e+00
393,0.000000e+00
394,0.000000e+00
395,0.000000e+00
396,0.000000e+00
397,0.000000e+00
398,0.000000e+00
399,0.000000e+00
400,0.000000e+00
401,0.000000e+00
402,0.000000e+00
403,0.000000e+00
404,0.000000e+00
405,0.000000e+00
406,0.000000e+00
407,0.000000e+00
408,0.000000e+00
409,0.000000e+00
410,0.000000e+00
411,0.000000e+00
412,0.000000e+00
413,0.000000e+00
414,0.000000e+00
415,0.000000e+00
416,0.000000e+00
417,0.000000e+00
418,0.000000e+00
419,0.000000e+00
420,0.000000e+00
421,0.000000e+00
422,0.000000e+00
423,0.000000e+00
424,0.000000e+00
425,0.000000e+00
426,0.000000e+00
427,0.000000e+00
428,0.000000e+00
429,0.000000e+00
430,0.000000e+00
431,0.000000e+00
432,0.000000e+00
433,0.000000e+00
434,0.000000e+00
435,0.000000e+00
436,0.000000e+00
437,0.000000e+00
438,0.000000e+00
439,0.000000e+00
440,0.000000e+00
441,0.000000e+00
442,0.000000e+00
443,0.000000e+00
444,0.000000e+00
445,0.000000e+00
446,0.000000e+00
447,0.000000e+00
448,0.000000e+00
449,0.000000e+00
450,0.000000e+00
451,0.000000e+00
452,0.000000e+00
453,0.000000e+00
454,0.000000e+00
455,0.000000e+00
456,0.000000e+00
457,0.000000e+00
458,0.000000e+00
459,0.000000e+00
460,0.000000e+00
461,0.000000e+00
462,0.000000e+00
463,0.000000e+00
464,0.000000e+00
465,0.000000e+00
466,0.000000e+00
467,0.000000e+00
468,0.000000e+00
469,0.000000e+00
470,0.000000e+00
471,0.000000e+00
472,0.000000e+00
473,0.000000e+00
474,0.000000e+00
475,0.000000e+00
476,0.000000e+00
477,0.000000e+00
478,0.000000e+00
479,0.000000e+00
480,0.000000e+00
481,0.000000e+00
482,0.000000e+00
483,0.000000e+00
484,0.000000e+00
485,0.000000e+00
486,0.000000e+00
487,0.000000e+00
488,0.000000e+00
489,0.000000e+00
490,0.000000e+00
491,0.000000e+00
492,0.000000e+00
493,0.000000e+00
494,0.000000e+00
495,0.000000e+00
496,0.000000e+00
497,0.000000e+00
498,0.000000e+00
499,0.000000e+00
500,0.000000e+00
501,0.000000e+00
502,0.000000e+00
503,0.000000e+00
